Name,Matches,Runs,Bat Avg,Wkts,Bowl Avg,Country
Abdul Malik,1,0,0,0,,Afganistan
Abdul Wasi,1,12,6,0,,Afganistan
Afsar Zazai,5,172,24.57,0,,Afganistan
Amir Hamza,3,72,36,16,21.38,Afganistan
Asghar Afghan,6,440,44,0,,Afganistan
Hashmatullah Shahidi,5,353,58.83,0,,Afganistan
Ibrahim Zadran,4,356,44.5,1,13,Afganistan
Ihsanullah,3,110,22,0,,Afganistan
Ikram Ali Khil,1,7,7,0,,Afganistan
Javed Ahmadi,3,113,18.83,1,69,Afganistan
Mohammad Nabi,3,33,5.5,8,31.75,Afganistan
Mohammad Shahzad,2,69,17.25,0,,Afganistan
Mujeeb Ur Rahman,1,18,9,1,75,Afganistan
Munir Ahmad,1,13,6.5,0,,Afganistan
Nasir Jamal,2,76,38,0,,Afganistan
Qais Ahmad,1,23,11.5,1,28,Afganistan
Rahmat Shah,6,385,32.08,0,,Afganistan
Rashid Khan,5,106,15.14,34,22.35,Afganistan
Sayed Shirzad,1,0,,3,32.33,Afganistan
Shahidullah Kamal,1,0,0,0,,Afganistan
Yamin Ahmadzai,5,32,3.56,11,24,Afganistan
Zahir Khan,3,0,0,7,34.14,Afganistan
A C Agar,4,195,32.5,9,45.56,Australia
S M Boland,3,24,12,18,9.56,Australia
J A Burns,23,1442,36.97,0,,Australia
A T Carey,10,451,32.21,0,,Australia
P J Cummins,43,880,16.92,199,21.66,Australia
A J Finch,5,278,27.8,0,,Australia
C Green,14,723,36.15,16,32.19,Australia
M S Harris,14,607,25.29,0,,Australia
J R Hazlewood,57,445,12.03,215,25.92,Australia
T M Head,28,1601,39.05,4,40.25,Australia
M C Henriques,4,164,23.43,2,82,Australia
U T Khawaja,51,3775,47.19,0,,Australia
M Labuschagne,28,2539,54.02,13,52.23,Australia
N M Lyon,110,1247,12.72,438,32.07,Australia
M R Marsh,32,1260,25.2,42,38.64,Australia
G J Maxwell,7,339,26.08,8,42.63,Australia
M G Neser,1,38,19,2,30.5,Australia
T D Paine,35,1534,32.64,0,,Australia
J L Pattinson,21,417,26.06,81,26.33,Australia
W J Pucovski,1,72,36,0,,Australia
J A Richardson,3,18,6,11,22.09,Australia
S P D Smith,87,8161,60.01,18,55,Australia
M A Starc,71,1816,22.15,287,27.63,Australia
M J Swepson,4,28,7,10,45.8,Australia
M S Wade,36,1613,29.87,0,,Australia
D A Warner,96,7817,46.53,4,67.25,Australia
Abu Jayed,13,36,2.57,30,37.27,Bangladesh
Al-Amin Hossain,7,90,22.5,9,60.56,Bangladesh
Anamul Haque,5,100,10,0,,Bangladesh
Ebadat Hossain,17,33,2.54,31,56.45,Bangladesh
Imrul Kayes,39,1797,24.28,0,,Bangladesh
Khaled Ahmed,9,5,0.45,19,49.37,Bangladesh
Litton Das,35,2112,35.8,0,,Bangladesh
Mahmudul Hasan Joy,8,363,25.93,0,,Bangladesh
Mahmudullah,50,2914,33.49,43,45.53,Bangladesh
Mashrafe Mortaza,36,797,12.85,78,41.53,Bangladesh
Mehidy Hasan Miraz,35,1089,18.78,135,34.16,Bangladesh
Mohammad Mithun,10,333,18.5,0,,Bangladesh
Mohammad Naim,1,24,12,0,,Bangladesh
Mominul Haque,54,3529,37.54,7,68.57,Bangladesh
Mosaddeck Hossain,4,173,28.83,0,,Bangladesh
Mushfiqur Rahim,82,5235,37.93,0,,Bangladesh
Mustafizur Rahman,15,66,4.4,31,36.74,Bangladesh
Najmul Hossain Shanto,19,913,26.09,0,,Bangladesh
Nayeem Hasan,8,118,14.75,31,27.1,Bangladesh
Nurul Hasan,7,338,28.17,0,,Bangladesh
Rubel Hossain,27,265,9.46,36,76.78,Bangladesh
Sabbir Rahman,11,481,24.05,0,,Bangladesh
Saif Hassan,6,159,14.45,1,27,Bangladesh
Shadman Islam,13,559,23.29,0,,Bangladesh
Shafiul Islam,11,211,10.55,17,55.41,Bangladesh
Shakib Al Hasan,63,4251,39,225,31.33,Bangladesh
Shoriful Islam,5,38,5.43,8,51,Bangladesh
Soumya Sarkar,16,831,27.7,4,84,Bangladesh
Taijul Islam,38,524,9.36,158,33.09,Bangladesh
Tamim Iqbal,69,5082,39.09,0,,Bangladesh
Taskin Ahmed,11,187,11,25,55.92,Bangladesh
Yasir Ali,5,196,24.5,0,,Bangladesh
M M Ali,64,2914,28.29,195,36.66,England
J M Anderson,175,1285,9.24,667,26.22,England
J C Archer,13,155,7.75,42,31.05,England
J M Bairstow,89,5482,37.04,0,,England
D M Bess,14,319,22.79,36,33.97,England
S W Billings,3,66,22,0,,England
J R Bracey,2,8,2.67,0,,England
S C J Broad,159,3550,18.39,566,27.77,England
H C Brook,1,12,12,0,,England
R J Burns,32,1789,30.32,0,,England
J C Buttler,57,2907,31.95,0,,England
Z Crawley,28,1363,27.26,0,,England
S M Curran,24,815,24.7,47,35.51,England
T K Curran,2,66,33,2,100,England
L A Dawson,3,84,21,7,42.57,England
J L Denly,15,827,29.54,2,109.5,England
B M Duckett,4,110,15.71,0,,England
M D Fisher,1,0,,1,71,England
B T Foakes,17,746,31.08,0,,England
A D Hales,11,573,27.29,0,,England
H Hameed,10,439,24.39,0,,England
C J Jordan,8,180,18,21,35.81,England
A Khan,1,0,,1,122,England
D W Lawrence,11,551,29,3,32.33,England
M J Leach,29,411,13.26,95,32.62,England
A Z Lees,10,453,23.84,0,,England
S Mahmood,2,52,52,6,22.83,England
D J Malan,22,1074,27.54,2,65.5,England
E J G Morgan,16,700,30.43,0,,England
C Overton,8,182,15.17,21,36.19,England
J Overton,1,97,97,2,73,England
M W Parkinson,1,8,8,1,47,England
O J D Pope,30,1488,31,0,,England
M J Potts,5,30,7.5,20,28,England
W B Rankin,1,13,6.5,1,81,England
A U Rashid,19,540,19.29,60,39.83,England
O E Robinson,11,145,9.06,51,19.8,England
J E Root,124,10504,50.02,47,46.36,England
J J Roy,5,187,18.7,0,,England
D P Sibley,22,1042,28.94,0,,England
B A Stokes,86,5429,36.19,192,31.52,England
O P Stone,3,55,9.17,10,19.4,England
J M Vince,13,548,24.91,0,,England
C R Woakes,45,1675,27.92,130,30.74,England
M A Wood,26,564,15.24,82,31.91,England
M A Agarwal,21,1488,41.33,0,,India
R Ashwin,86,2931,26.89,442,24.13,India
J J Bumrah,30,212,7.31,128,21.99,India
S Dhawan,34,2315,40.61,0,,India
S S Iyer,5,422,46.89,0,,India
R A Jadeja,60,2523,36.57,242,24.71,India
K D Karthik,26,1025,25,0,,India
V Kohli,102,8074,49.53,0,,India
Kuldeep Yadav,7,54,6.75,26,23.85,India
B Kumar,21,552,22.08,63,26.1,India
Mohammed Shami,60,685,11.61,216,27.46,India
Mohammed Siraj,13,66,6,40,30.78,India
S Nadeem,2,1,0.5,8,34.13,India
T Natarajan,1,1,,3,39.67,India
H H Pandya,11,532,31.29,17,31.06,India
R R Pant,31,2123,43.33,0,,India
A R Patel,6,197,24.63,39,12.44,India
C A Pujara,96,6792,43.82,0,,India
A M Rahane,82,4931,38.52,0,,India
K L Rahul,43,2547,35.38,0,,India
W P Saha,40,1353,29.41,0,,India
N A Saini,2,9,4.5,4,43,India
I Sharma,105,785,8.26,311,32.41,India
R G Sharma,45,3137,46.13,2,112,India
